ticker,year,quarter,revenue,ebit,net_income,ebitda,equity,total_assets,net_debt,shares_outstanding,sector,operating_expenses,cost_of_revenue,cash_and_equivalents
AAPL,2024,Q4,94930,30740,22956,32180,74100,364980,-52840,15550.46,Technology,14450,51740,61200
AAPL,2024,Q3,85780,27320,21448,28890,72820,352583,-49230,15634.22,Technology,13540,44920,58600
AAPL,2023,Q4,89498,29990,22956,31450,62146,352755,-45650,15728.70,Technology,14330,45178,48300
AAPL,2023,Q3,81797,26310,19881,27840,60274,338516,-42980,15812.55,Technology,13476,42011,46200
AAPL,2023,Q2,94836,30820,24160,32350,59797,332160,-38950,15943.43,Technology,14186,49830,44850
MSFT,2024,Q4,65585,29656,24667,31250,256190,512163,42150,7430.00,Technology,21273,14656,21890
MSFT,2024,Q3,61858,27442,22291,29018,251589,499458,40820,7445.32,Technology,20074,14342,20670
MSFT,2023,Q4,56517,24267,20081,25849,238268,411976,38560,7472.11,Technology,18992,13258,18450
MSFT,2023,Q3,52857,22456,18299,23977,232298,397269,37210,7490.87,Technology,18145,12256,17890
MSFT,2023,Q2,52747,22320,18276,23850,230448,390644,36450,7513.24,Technology,18171,12256,17230
NVDA,2024,Q4,26044,17504,14881,17820,53296,65728,7450,24700.00,Technology,3864,4676,11240
NVDA,2024,Q3,18120,11856,9243,12156,49862,61644,6890,24566.00,Technology,3458,2806,10450
NVDA,2023,Q4,6051,1868,1414,2056,26611,44187,6120,24720.00,Technology,2398,1785,7280
NVDA,2023,Q3,5931,1336,680,1526,25268,41182,5890,24830.00,Technology,2810,1785,7140
NVDA,2023,Q2,7192,2188,2043,2398,24822,38613,5450,24880.00,Technology,2362,2642,6890
GOOGL,2024,Q4,86310,27654,23619,30250,256844,402392,10450,12346.00,Technology,24986,33670,28950
GOOGL,2024,Q3,80539,25448,21335,27890,251226,395467,9870,12389.45,Technology,23645,31446,27680
GOOGL,2023,Q4,76693,23567,18391,25980,246567,383972,8950,12445.67,Technology,23404,29722,26340
GOOGL,2023,Q3,74604,22890,17200,25110,243892,378237,8230,12489.33,Technology,22892,28822,25670
GOOGL,2023,Q2,69787,21245,18368,23670,241445,372334,7680,12534.89,Technology,21334,27208,24890
AMZN,2024,Q4,158877,16818,10624,22450,201876,527854,52340,10570.00,Technology,26109,115950,42680
AMZN,2024,Q3,147977,14256,9879,19880,197089,517379,50120,10612.45,Technology,25845,107876,41230
AMZN,2023,Q4,169961,13209,10624,19340,191185,523509,48670,10644.23,Technology,27408,129344,40120
AMZN,2023,Q3,143083,11188,9879,16990,188891,512004,47230,10678.90,Technology,25707,106188,38950
AMZN,2023,Q2,134383,7681,6750,13240,186702,500614,45890,10712.34,Technology,27568,99134,37680
META,2024,Q4,40111,18667,14017,20340,147458,229626,18450,2550.00,Technology,13977,7467,23890
META,2024,Q3,39714,17823,13726,19450,144629,226891,17230,2562.34,Technology,13624,8267,22670
META,2023,Q4,40353,16807,14018,18560,142789,223993,15890,2574.89,Technology,15279,8267,21450
META,2023,Q3,34146,13690,11583,15230,139890,220440,14560,2589.12,Technology,13189,7267,20340
META,2023,Q2,32000,12456,9688,13990,137489,216626,13230,2605.67,Technology,12877,6667,19120
TSLA,2024,Q4,25167,2255,1853,3450,55622,112088,4560,3178.92,Automotive,4267,18645,22340
TSLA,2024,Q3,23350,1995,1623,3120,53890,108782,4120,3189.45,Automotive,4232,17123,21450
TSLA,2023,Q4,25167,2345,2063,3890,52934,106618,3780,3201.23,Automotive,4277,18545,20670
TSLA,2023,Q3,23350,1762,1853,3340,51134,103567,3450,3215.89,Automotive,4465,17123,19890
TSLA,2023,Q2,24927,2399,2389,4120,49567,101567,3120,3229.34,Automotive,4183,18345,18950
